ATC2,NAZIV,joint_name
A01,ZDRAVILA V ZOBOZDRAVSTVU,A01 - ZDRAVILA V ZOBOZDRAVSTVU
A02,ZDRAVILA ZA KISLINSKO POGOJENE BOLEZNI,A02 - ZDRAVILA ZA KISLINSKO POGOJENE BOLEZNI
A03,ZDRAVILA ZA ZDRAVLJENJE GASTROINTESTINALNIH FUNKCIONALNIH MOTENJ,A03 - ZDRAVILA ZA ZDRAVLJENJE GASTROINTESTINALNIH FUNKCIONALNIH MOTENJ
A04,ANTIEMETIKI IN ZDRAVILA PROTI SLABOSTI,A04 - ANTIEMETIKI IN ZDRAVILA PROTI SLABOSTI
A05,ZDRAVILA ZA BOLEZNI ŽOLČA IN JETER,A05 - ZDRAVILA ZA BOLEZNI ŽOLČA IN JETER
A06,ZDRAVILA PROTI ZAPRTJU,A06 - ZDRAVILA PROTI ZAPRTJU
A07,"ANTIDIAROIKI, PROTIVNETNA IN PROTIMIKROBNA ZDRAVILA","A07 - ANTIDIAROIKI, PROTIVNETNA IN PROTIMIKROBNA ZDRAVILA"
A09,"DIGESTIVI, VKLJUČNO Z ENCIMI","A09 - DIGESTIVI, VKLJUČNO Z ENCIMI"
A10,ZDRAVILA ZA ZDRAVLJENJE DIABETESA,A10 - ZDRAVILA ZA ZDRAVLJENJE DIABETESA
A11,VITAMINI,A11 - VITAMINI
A12,MINERALI,A12 - MINERALI
A16,DRUGA ZDRAVILA ZA BOLEZNI PREBAVIL IN PRESNOVE,A16 - DRUGA ZDRAVILA ZA BOLEZNI PREBAVIL IN PRESNOVE
B01,ANTITROMBOTIKI,B01 - ANTITROMBOTIKI
B02,ANTIHEMORAGIKI,B02 - ANTIHEMORAGIKI
B03,ZDRAVILA ZA ZDRAVLJENJE SLABOKRVNOSTI,B03 - ZDRAVILA ZA ZDRAVLJENJE SLABOKRVNOSTI
B05,NADOMESTKI KRVI IN PERFUZIJSKE RAZTOPINE,B05 - NADOMESTKI KRVI IN PERFUZIJSKE RAZTOPINE
B06,DRUGA KRVNA ZDRAVILA,B06 - DRUGA KRVNA ZDRAVILA
C01,ZDRAVILA ZA BOLEZNI SRCA,C01 - ZDRAVILA ZA BOLEZNI SRCA
C02,ANTIHIPERTENZIVI,C02 - ANTIHIPERTENZIVI
C03,DIURETIKI,C03 - DIURETIKI
C04,PERIFENI VAZODILATATORJI,C04 - PERIFENI VAZODILATATORJI
C05,VAZOPROTEKTIVI,C05 - VAZOPROTEKTIVI
C07,ANTAGONISTI ADRENERGIČNIH RECEPTORJEV BETA,C07 - ANTAGONISTI ADRENERGIČNIH RECEPTORJEV BETA
C08,ZAVIRALCI KALCIJEVIH KANALČKOV,C08 - ZAVIRALCI KALCIJEVIH KANALČKOV
C09,ZDRAVILA Z DELOVANJEM NA RENIN-ANGIOTENZINSKI SISTEM,C09 - ZDRAVILA Z DELOVANJEM NA RENIN-ANGIOTENZINSKI SISTEM
C10,ZDRAVILA ZA SPREMINJANJE RAVNI SERUMSKIH LIPIDOV,C10 - ZDRAVILA ZA SPREMINJANJE RAVNI SERUMSKIH LIPIDOV
D01,ANTIMIKOTIKI ZA ZDRAVLJENJE DERMATOLOŠKIH BOLEZNI,D01 - ANTIMIKOTIKI ZA ZDRAVLJENJE DERMATOLOŠKIH BOLEZNI
D02,ZDRAVILA ZA MEHČANJE IN VAROVANJE KOŽE,D02 - ZDRAVILA ZA MEHČANJE IN VAROVANJE KOŽE
D03,ZDRAVILA ZA OSKRBO RAN IN RAZJED,D03 - ZDRAVILA ZA OSKRBO RAN IN RAZJED
D04,"ANTIPRURITIKI Z ANTIHISTAMINIKI, ANESTETIKI ITD.","D04 - ANTIPRURITIKI Z ANTIHISTAMINIKI, ANESTETIKI ITD."
D05,ANTIPSORIATIKI,D05 - ANTIPSORIATIKI
D06,ANTIBIOTIKI IN KEMOTERAPEVTIKI ZA UPORABO V DERMATOLOGIJI,D06 - ANTIBIOTIKI IN KEMOTERAPEVTIKI ZA UPORABO V DERMATOLOGIJI
D07,KORTIKOSTEROIDI - DERMATIKI,D07 - KORTIKOSTEROIDI - DERMATIKI
D08,ANTISEPTIKI IN DEZINFICIENSI,D08 - ANTISEPTIKI IN DEZINFICIENSI
D09,ZDRAVILNE OBVEZE,D09 - ZDRAVILNE OBVEZE
D10,ZDRAVILA ZA ZDRAVLJENJE AKEN,D10 - ZDRAVILA ZA ZDRAVLJENJE AKEN
D11,DRUGA ZDRAVILA ZA BOLEZNI KOŽE IN PODKOŽNEGA TKIVA,D11 - DRUGA ZDRAVILA ZA BOLEZNI KOŽE IN PODKOŽNEGA TKIVA
G01,GINEKOLOŠKA PROTIMIKROBNA ZDRAVILA IN ANTISEPTIKI,G01 - GINEKOLOŠKA PROTIMIKROBNA ZDRAVILA IN ANTISEPTIKI
G02,DRUGA GINEKOLOŠKA ZDRAVILA,G02 - DRUGA GINEKOLOŠKA ZDRAVILA
G03,SPOLNI HORMONI IN ZDRAVILA ZA URAVNAVANJE DELOVANJA SPOLOVIL,G03 - SPOLNI HORMONI IN ZDRAVILA ZA URAVNAVANJE DELOVANJA SPOLOVIL
G04,ZDRAVILA ZA BOLEZNI SEČIL,G04 - ZDRAVILA ZA BOLEZNI SEČIL
H01,HIPOFIZNI IN HIPOTALAMIČNI HORMONI TER SORODNE UČINKOVINE,H01 - HIPOFIZNI IN HIPOTALAMIČNI HORMONI TER SORODNE UČINKOVINE
H02,KORTIKOSTEROIDI ZA SISTEMSKO ZDRAVLJENJE,H02 - KORTIKOSTEROIDI ZA SISTEMSKO ZDRAVLJENJE
H03,ZDRAVILA ZA BOLEZNI ŠČITNICE,H03 - ZDRAVILA ZA BOLEZNI ŠČITNICE
H04,HORMONI TREBUŠNE SLINAVKE,H04 - HORMONI TREBUŠNE SLINAVKE
H05,ZDRAVILA ZA URAVNAVANJE HOMEOSTAZE KALCIJA,H05 - ZDRAVILA ZA URAVNAVANJE HOMEOSTAZE KALCIJA
J01,ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE BAKTERIJSKIH INFEKCIJ,J01 - ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE BAKTERIJSKIH INFEKCIJ
J02,ANTIMIKOTIKI ZA SISTEMSKO ZDRAVLJENJE,J02 - ANTIMIKOTIKI ZA SISTEMSKO ZDRAVLJENJE
